bags_to_cabin,carry_bags,group,time_until_flight,aircraft_type,bag_capacity,bags_checked,is_one_way,season,length_of_trip_(minutes),day_of_travel,is_holiday,national_event,domestic,weather,customer_name,customer_email,customer_phone_number
TRUE,2,5,65,A321,190,54,FALSE,Winter,196,Wednesday,TRUE,FALSE,TRUE,hot,Christopher Kelly,mark42@gmail.com,+1-169-194-7914x55409
TRUE,2,6,112,737,172,49,FALSE,Autumn,337,Sunday,TRUE,FALSE,FALSE,hot,Kathryn Torres,oramos@yahoo.com,+1-269-732-2192x8631
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
FALSE,0,9,116,737,172,49,TRUE,Winter,349,Thursday,TRUE,FALSE,FALSE,hot,Kelsey Martin,mark38@gmail.com,001-552-662-6252
TRUE,1,8,79,737,172,49,TRUE,Spring,238,Wednesday,TRUE,FALSE,FALSE,hot,Susan Torres,lindseywatkins@warren.com,(691)939-3583x3659
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,6,34,A321,190,54,FALSE,Summer,101,Wednesday,TRUE,FALSE,TRUE,cold,Christian Johnson,carlos11@lane-taylor.com,(908)437-9321
FALSE,0,5,137,737,172,49,FALSE,Autumn,411,Sunday,FALSE,TRUE,FALSE,hot,Thomas Patterson,ruizmegan@morton-santana.info,001-947-051-1930x240
TRUE,2,7,125,737,172,49,FALSE,Summer,375,Wednesday,FALSE,TRUE,TRUE,cold,Misty Bean,mary29@russell-haney.biz,(389)617-1392x0802
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,2,5,65,A321,190,54,FALSE,Winter,196,Wednesday,TRUE,FALSE,TRUE,hot,Christopher Kelly,mark42@gmail.com,+1-169-194-7914x55409
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
TRUE,2,7,125,737,172,49,FALSE,Summer,375,Wednesday,FALSE,TRUE,TRUE,cold,Misty Bean,mary29@russell-haney.biz,(389)617-1392x0802
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
FALSE,0,9,116,737,172,49,TRUE,Winter,349,Thursday,TRUE,FALSE,FALSE,hot,Kelsey Martin,mark38@gmail.com,001-552-662-6252
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,2,5,65,A321,190,54,FALSE,Winter,196,Wednesday,TRUE,FALSE,TRUE,hot,Christopher Kelly,mark42@gmail.com,+1-169-194-7914x55409
FALSE,1,9,116,737,172,49,TRUE,Winter,349,Thursday,TRUE,FALSE,FALSE,hot,Kelsey Martin,mark38@gmail.com,001-552-662-6252
TRUE,2,7,125,737,172,49,FALSE,Summer,375,Wednesday,FALSE,TRUE,TRUE,cold,Misty Bean,mary29@russell-haney.biz,(389)617-1392x0802
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,2,6,112,737,172,49,FALSE,Autumn,337,Sunday,TRUE,FALSE,FALSE,hot,Kathryn Torres,oramos@yahoo.com,+1-269-732-2192x8631
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,2,6,112,737,172,49,FALSE,Autumn,337,Sunday,TRUE,FALSE,FALSE,hot,Kathryn Torres,oramos@yahoo.com,+1-269-732-2192x8631
TRUE,1,6,34,A321,190,54,FALSE,Summer,101,Wednesday,TRUE,FALSE,TRUE,cold,Christian Johnson,carlos11@lane-taylor.com,(908)437-9321
TRUE,1,8,79,737,172,49,TRUE,Spring,238,Wednesday,TRUE,FALSE,FALSE,hot,Susan Torres,lindseywatkins@warren.com,(691)939-3583x3659
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,2,6,112,737,172,49,FALSE,Autumn,337,Sunday,TRUE,FALSE,FALSE,hot,Kathryn Torres,oramos@yahoo.com,+1-269-732-2192x8631
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,1,7,104,A321,190,54,FALSE,Winter,312,Saturday,TRUE,TRUE,FALSE,cold,Elizabeth Reed,robertrobinson@harrington.com,+1-480-278-5330x32974
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,1,8,79,737,172,49,TRUE,Spring,238,Wednesday,TRUE,FALSE,FALSE,hot,Susan Torres,lindseywatkins@warren.com,(691)939-3583x3659
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
TRUE,2,5,161,A321,190,54,TRUE,Autumn,483,Wednesday,FALSE,TRUE,FALSE,hot,Mark Cummings,jensensally@yahoo.com,698.167.9668
TRUE,2,7,125,737,172,49,FALSE,Summer,375,Wednesday,FALSE,TRUE,TRUE,cold,Misty Bean,mary29@russell-haney.biz,(389)617-1392x0802
TRUE,1,8,30,A321,190,54,FALSE,Spring,33,Tuesday,FALSE,FALSE,FALSE,hot,Austin Carrillo,hunterdenise@maddox-bryant.com,(427)509-4302x145
FALSE,0,5,137,737,172,49,FALSE,Autumn,411,Sunday,FALSE,TRUE,FALSE,hot,Thomas Patterson,ruizmegan@morton-santana.info,001-947-051-1930x240
TRUE,1,8,79,737,172,49,TRUE,Spring,238,Wednesday,TRUE,FALSE,FALSE,hot,Susan Torres,lindseywatkins@warren.com,(691)939-3583x3659
FALSE,0,9,116,737,172,49,TRUE,Winter,349,Thursday,TRUE,FALSE,FALSE,hot,Kelsey Martin,mark38@gmail.com,001-552-662-6252
